customer_id,full_name,email,phone,city,state,country,segment,kyc_status,join_date,credit_score
1001,Archana Singh,archana.singh1001@email.com,9826600539,Mumbai,Maharashtra,India,Corporate,Verified,2013-02-17,726
1002,Tarun Arora,tarun.arora1002@email.com,9334760738,Patna,Bihar,India,Retail,Verified,2010-09-02,547
1003,Sneha Subramaniam,sneha.subramaniam1003@email.com,9336696312,Ludhiana,Punjab,India,Retail,Verified,2022-03-23,714
1004,Rohini Natarajan,rohini.natarajan1004@email.com,9553778756,Jaipur,Rajasthan,India,SME,Verified,2013-07-31,778
1005,Sarala Tiwari,sarala.tiwari1005@email.com,9507943839,Hyderabad,Telangana,India,Retail,Verified,2012-04-17,547
1006,Suresh Das,suresh.das1006@email.com,9675770529,Ranchi,Jharkhand,India,Retail,Verified,2010-12-22,735
1007,Nisha Chopra,nisha.chopra1007@email.com,9719927151,Kanpur,Uttar Pradesh,India,Retail,Verified,2023-11-15,685
1008,Ramesh Shukla,ramesh.shukla1008@email.com,9349957310,Bangalore,Karnataka,India,Retail,Verified,2016-06-28,540
1009,Suresh Mukherjee,suresh.mukherjee1009@email.com,9481469012,Jaipur,Rajasthan,India,Retail,Verified,2013-08-25,689
1010,Ashok Jha,ashok.jha1010@email.com,9781802744,Jaipur,Rajasthan,India,Corporate,Verified,2011-08-08,855
1011,Usha Venkatesh,usha.venkatesh1011@email.com,9335809993,Meerut,Uttar Pradesh,India,Retail,Verified,2016-01-21,785
1012,Reena Chandra,reena.chandra1012@email.com,9530747414,Jodhpur,Rajasthan,India,Corporate,Verified,2010-09-20,780
1013,Harish Nair,harish.nair1013@email.com,9803771909,Ahmedabad,Gujarat,India,SME,Verified,2017-01-21,654
1014,Shanti Banerjee,shanti.banerjee1014@email.com,9364814270,Guwahati,Assam,India,SME,Verified,2015-12-10,635
1015,Nidhi Balaji,nidhi.balaji1015@email.com,9488690725,Patna,Bihar,India,Retail,Verified,2023-02-02,704
1016,Vinod Kumar,vinod.kumar1016@email.com,9773715057,Visakhapatnam,Andhra Pradesh,India,Retail,Verified,2012-06-17,578
1017,Manoj Agarwal,manoj.agarwal1017@email.com,9668132202,Nashik,Maharashtra,India,Retail,Verified,2018-07-24,739
1018,Dinesh Balaji,dinesh.balaji1018@email.com,9676567501,Ranchi,Jharkhand,India,SME,Verified,2012-07-27,774
1019,Shiv Tiwari,shiv.tiwari1019@email.com,9587182120,Chandigarh,Punjab,India,HNI,Verified,2019-10-02,760
1020,Priya Dwivedi,priya.dwivedi1020@email.com,9214257751,Guwahati,Assam,India,Corporate,Rejected,2014-01-03,829
1021,Nitin Sinha,nitin.sinha1021@email.com,9918739736,Jodhpur,Rajasthan,India,HNI,Verified,2013-06-06,815
1022,Manoj Venkatesh,manoj.venkatesh1022@email.com,9624636385,Chandigarh,Punjab,India,SME,Pending,2023-06-08,682
1023,Anita Singh,anita.singh1023@email.com,9162196678,Thiruvananthapuram,Kerala,India,Retail,Rejected,2016-11-24,622
1024,Prakash Malhotra,prakash.malhotra1024@email.com,9916690353,Vadodara,Gujarat,India,SME,Verified,2020-11-25,617
1025,Rakesh Thakur,rakesh.thakur1025@email.com,9384602384,Hyderabad,Telangana,India,Retail,Verified,2022-05-01,584
1026,Padma Kapoor,padma.kapoor1026@email.com,9865523129,Ludhiana,Punjab,India,Retail,Verified,2022-02-04,602
1027,Geetha Banerjee,geetha.banerjee1027@email.com,9229927269,Nashik,Maharashtra,India,HNI,Verified,2021-08-10,835
